feature,importance
day,51140.566684670746
days_to_tet_clipped,50080.42280486412
cos_doy,34347.16492612753
days_to_next_promo_start,29625.229465990793
sin_doy,28925.858461230062
day_of_year,27728.522660334827
month_x_dow,22747.16454874538
days_to_promo_end,17215.13912225887
cos_month,17060.224067896605
day_of_week,14981.27241157135
days_since_promo_start,14808.294125104556
sin_dow,12742.681603314355
log_days_to_next_promo_start,12404.297621316276
week_of_year,11933.194041132927
tet_proximity,11783.794682046399
cos_dow,11773.219239665195
log_days_to_promo_end,7445.906610127306
week_of_month,4109.549803599715
is_last3,3628.436574012041
days_in_month,3467.7439744099975
dom_position,2952.8814561367035
is_stackable_active,2814.113877058029
promo_urban,1913.269912302494
is_payday_week,1714.6920366436243
is_all_channel_promo,1612.8359000980854
month,1550.92449266091
max_discount_pct,1488.0729936361313
is_first3,927.7817047834396
sin_month,769.4346493333578
is_month_start,738.3192492723465
is_back_to_school,649.834649682045
is_month_end,646.7432078719139
is_weekend,618.8127362728119
is_in_any_promo,520.636478559114
is_tet_approach,481.5843481570482
promo_rural,313.88365030288696
quarter,278.64850748330355
is_tet_recovery,260.7471843957901
n_active_promos,240.54745456576347
promo_fall,228.74590557813644
is_tet_holiday,152.22124028205872
is_rainy_season,110.90347111225128
promo_midyear,72.5583159327507
is_double_day,43.35213005542755
promo_spring,36.726239800453186
promo_yearend,18.298230171203613
is_yearend_shopping,2.887769937515259
is_womens_day_intl,0.0
is_womens_day_vn,0.0
is_national_day,0.0
is_tet_season,0.0
is_liberation_day,0.0
is_labor_day,0.0
